Country,2021_GDP,2020_GDP,2019_GDP,2018_GDP,2017_GDP,2016_GDP,2015_GDP,2014_GDP,2013_GDP,2021_atw,2020_atw,2019_atw,2018_atw,2017_atw,2016_atw,2015_atw,2014_atw,2013_atw,2021_ami,2020_ami,2019_ami,2018_ami,2017_ami,2016_ami,2015_ami,2014_ami,2013_ami,2020_ia,2019_ia,2018_ia,2017_ia,2016_ia,2015_ia,2014_ia,2013_ia
Norway,"89,202.80","67,329.70","75,719.80","82,267.80","75,496.80","70,460.60","74,355.50","97,019.20","102,913.50",3859.08,3226.29,3347.26,3496.03,3304.25,3302.12,3369.02,4435.39,4221.55,60.09,50.09,56.29,56.5,49.18,42.23,39.94,52.91,55.18,97,98,96.49,96.36,97.3,96.81,96.3,95.05
Oman,"16,439.30","14,485.40","17,700.70","18,947.40","17,329.20","16,772.70","18,444.90","23,017.90","23,888.60",1611.14,1875.02,1798.94,1399.33,1489.57,1972.39,2118.62,1816.43,2196.12,72.89,81.22,79.98,70.47,60.49,60.42,60.26,60.52,65.79,95.23,90.3,85.5,80.19,76.85,73.53,70.22,66.45
Pakistan,"1,537.90","1,359.50","1,481.80","1,678.00","1,631.50","1,540.20","1,356.70","1,251.20","1,208.90",231.94,220.65,238.27,277.28,300.86,286.81,258.59,279.71,259.98,23.46,20.94,21.33,24.12,28.8,31.99,26.96,28.23,28.97,25,17.07,15.34,13.78,12.39,11,10,9
Peru,"6,692.20","6,117.50","7,023.10","6,958.50","6,710.50","6,205.00","6,229.10","6,672.90","6,756.80",469.35,430.7,494.94,458.93,434.24,531.36,515.32,469.48,450.46,33.1,33.07,38.8,38.58,43.7,46.6,41.04,56.58,62.6,65.25,59.95,55.05,50.45,45.46,40.85,40.2,39.2
Philippines,"3,548.80","3,301.20","3,485.30","3,252.10","3,123.20","3,073.70","3,001.00","2,959.60","2,871.40",351.68,318.98,326.9,300.88,394.04,374.05,335.58,414.82,351.83,47.02,46.26,47.44,42.68,43.57,46.78,47.51,46.17,44.7,49.8,43.03,44.1,41.6,39.2,36.9,34.7,32.7
Poland,"17,840.90","15,742.50","15,732.20","15,468.50","13,864.70","12,447.40","12,578.50","14,271.30","13,696.50",1186.39,884.61,964.12,931.95,900.77,844.5,792.54,985.97,871.59,15.47,13.72,14.05,14.44,13.22,11.66,12.08,14.83,14.87,83.18,80.44,77.54,75.99,73.3,68,66.6,62.85
Portugal,"24,262.20","22,194.60","23,330.80","23,562.60","21,490.40","19,992.00","19,250.10","22,103.70","21,653.20",1128.18,999.33,991.25,956.02,909.08,949.61,874.31,1101.54,1049.29,41.13,36.72,36.44,36.01,32.17,29.27,25.68,31.03,29.15,78.26,75.35,74.66,73.79,70.42,68.63,64.59,62.1
Qatar,"61,276.00","50,124.40","62,088.00","65,907.90","59,124.90","57,163.00","63,039.10","83,858.30","85,050.70",2982.94,3132.82,3256.97,3289.97,3275.94,3088.19,3490.79,3473.27,3763.49,92.08,84.27,90.97,85.09,71.6,69.87,71.95,85.02,92.55,99.65,99.65,99.65,97.39,95.12,92.88,91.49,85.3
Romania,"14,861.90","12,956.60","12,899.30","12,399.00","10,807.00","9,548.60","8,969.10","10,043.70","9,547.90",852.12,726.04,675.31,635.69,632.87,535.74,499.51,530.48,483.1,9.66,8.59,9,9.2,8.35,7.96,7.85,10.31,9.79,78.46,73.66,70.68,63.75,59.5,55.76,54.08,49.76
Russia,"12,172.80","10,162.00","11,536.30","11,287.40","10,720.30","8,704.90","9,313.00","14,095.60","15,974.60",654.59,637.91,636.73,649.47,704.45,548.43,654.82,872.49,827.15,6.67,6.86,7.43,7.61,7.65,5.83,7.07,10.75,12.91,97.86,95.72,93.31,94.18,74.88,69.62,64.71,60.5
Saudi Arabia,"23,585.90","20,203.70","23,450.60","24,228.80","20,802.50","19,878.80","20,627.90","24,464.20","24,845.10",1747.12,1687.53,1600.62,1635.9,1651.27,1808.12,1774.43,1823.79,1741.74,70.78,65.36,67.82,64.06,57.59,41.39,37.89,47.6,52.38,78.37,77.42,73.36,70.33,67.06,65.32,62.08,53.45
Serbia,"9,215.00","7,730.70","7,417.20","7,252.40","6,292.50","5,765.20","5,589.00","6,600.10","6,755.10",626.64,512.75,466.23,433.38,389.66,387.88,368.37,504.05,503.62,23.9,21.78,23.62,23.81,16.66,14.4,14.19,18.59,20.24,92,88.95,88.17,84.45,84.45,83.2,82.1,80.9
Singapore,"72,794.00","60,729.50","65,831.20","66,859.30","61,150.70","56,860.40","55,646.60","57,562.50","56,967.40",4094.02,3518.56,3272.3,2975.78,3022.34,3130.46,3152.95,3098.76,2854.14,33.65,31.79,33.43,31.99,34.07,31.65,30.8,31.38,32.18,86.6,83.11,79.75,78.89,75.5,73.1,71.59,72.68
Slovakia,"21,087.80","19,266.50","19,303.50","19,390.00","17,538.00","16,512.30","16,342.20","18,655.80","18,208.40",1231.67,1052,1055.67,989.85,942.79,913.54,796.16,955.7,872.37,21.4,17.95,18,19.22,16.51,16.02,14.11,16.55,17.71,70,68.2,62.4,56.17,54,51.92,49,46.5
Slovenia,"29,200.80","25,489.50","25,943.00","26,116.90","23,514.00","21,678.40","20,890.20","24,247.20","23,503.30",1533.14,1271.54,1283.56,1225.38,1184.44,1168.63,1114.17,1283.76,1218.09,41.94,39.12,37.77,38.34,34.15,30.38,29.88,30.13,31.24,96.51,96.16,96.02,95.07,92.84,89.9,87.56,84.77
